Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
74 Copper And Articles Thereof,Singapore,2024,25377765,25376605.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2023,74108485,72991015.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2021,236742496,236800326.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2022,321923940,321831607.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2022,185961,185961.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2023,20526280,20539390.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2025,7899927,7902583.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2021,2337104,2330388.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2023,375989215,374669014.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2023,226933677,226718846.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2023,1036715,1035705.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2024,14200829105,14174655167.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2025,10074242472,10083667243.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2022,12473685649,12543299326.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2024,652805504,651153658.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2023,11778898930,11800119431.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2022,575108684,574593273.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2021,13451261563,13490106823.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2025,426428007,425740385.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2025,226658454,225251491.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2022,273168507,273104188.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2021,176342027,176380524.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2024,265180491,264004750.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2023,237311007,237296329.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2024,129363837,128142078.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2021,2091315,2109287.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2021,398289253,398150633.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2025,89639363,89623189.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2023,35265249,35265249.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2023,187959691,181810480.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2025,158726094,158857819.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2025,11400701,11400701.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2021,86305703,86113519.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2022,99992092,99822845.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2024,1130527,1132773.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2024,1595110,1595110.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2024,19865124,19865124.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2025,29115,38990.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2021,18547049,18549499.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2023,591814791,591889334.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2023,3302592,3291648.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2021,458509401,458728071.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Laos,2024,6346,6346.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2021,256007706,255702970.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2025,229796628,229575745.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2025,77969234,77506138.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2025,218332052,221074583.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2024,344223060,343812148.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2022,90224,90224.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2022,20945864,20926664.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2022,65694824,65698729.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2024,39572,37466.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2022,355559872,355228404.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2025,52838,52838.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2025,9693039,9693039.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2022,1326898,1327497.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2022,235985976,228234524.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2021,24072482,24072482.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2021,222467426,208792236.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2024,187013848,192251906.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2022,31498910,31498910.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2024,594568582,593123683.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2021,30267041,30267041.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2024,243887815,245479998.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2022,4568404,4568404.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2025,476948037,471960732.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2022,592306181,591122722.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2021,17378,17378.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2023,3000,3000.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2025,1864313,1732295.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2023,18118809,18118809.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2023,226881075,227345795.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2024,132799273,132781118.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2005,159906947,159797450.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2004,94534718,93718856.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2015,52869291,52866645.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2014,77111,77111.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2014,171610808,171324636.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2003,2967812021,3269395644.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2012,6955,6955.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2018,1514051,1514051.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2009,5443504082,5541169410.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2012,165435769,165379863.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2003,3054224,3230526.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2007,63481921,63476762.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2008,4761069,4761069.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2006,126211433,126061694.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2019,12573780,12573780.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2020,13740,5061.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2013,5866210,5863847.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2007,10982897,10982897.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2001,194627412,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2007,2750,2750.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2002,135139047,134595116.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2010,190522534,190437482.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2002,152788649,152649373.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2003,2326457,2181892.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2003,19815427,19815427.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2015,7846457,7846457.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2011,60658903,60658903.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2018,203814034,203832999.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Laos,2014,5040,5040.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2006,108785788,99238342.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2009,3780945,3780945.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2005,83435299,83235876.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2013,65608827,65580298.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2020,25217,25217.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2019,14399392,14399392.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2008,10257950561,10262641584.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2020,15211474,15211474.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2008,12421083,12421083.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2009,34454212,34454212.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2005,6485771736,6570278347.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2001,3726429140,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2014,201463016,201083836.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2004,74200816,74200816.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2006,11912015829,11875149322.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2015,12791667,12791667.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2015,46445339,46311946.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2004,43754380,43743515.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2013,167170720,167007297.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2018,239607910,239437149.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2019,1578023,1642964.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2012,173821099,172064719.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2016,7922,7922.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2010,131808904,131810157.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2003,34226971,34226971.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2003,152960877,153261331.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2002,60464967,60582949.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2006,77551316,77528880.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2015,5100,5100.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2020,1536070,1529237.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2008,179894950,179875918.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2007,72854216,72865624.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2010,54246638,54061994.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2016,2717,2717.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2004,6503683,6503683.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2011,11110298,11110298.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Brunei,2018,7560,7560.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2017,148786,148786.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2019,212678085,212392942.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2008,147245544,147134407.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2008,9726,9726.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2007,136437570,136250369.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2015,5219039,5219039.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2005,72206763,72214935.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2008,66449066,66425245.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2013,47542002,47542002.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2002,1663579,1663579.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2003,61819223,61674658.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2007,174784160,174804872.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2002,18893299,17493027.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2014,40037976,40037976.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2019,309167339,281650707.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2020,1508216,1508216.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2008,89894441,89901660.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2001,5752998,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2018,132604,132604.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Laos,2008,15170,15170.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2002,3291051983,3093388291.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2013,2721,2721.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2005,3880,3880.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2007,11335093806,11334875734.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2018,26339779,26336075.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2013,218098240,217134496.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2004,4312700404,4595919884.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2019,50868943,50912921.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2008,7271500,7271500.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,APEC - Asia Pacific Economic Co-operation,2010,7526092538,7687800463.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2002,1971544,1899888.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2006,5915363,5915363.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2010,2314108,2314108.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2015,173640434,172741338.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2019,8900,8900.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2020,78699291,78702998.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2013,43840311,43840311.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2005,5244737,5244737.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2013,12351442,12351442.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2003,62737756,62822904.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2017,100898754,101962941.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2003,859560,859560.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2004,158363458,157312178.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2018,150754539,150641203.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2015,4985,4985.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2013,2547926,2538322.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2011,7183139,7177859.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2014,4031411,4018434.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2016,159574746,158370829.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2018,53295024,53297789.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2016,11173426,11173426.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2018,270128259,262372727.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2015,29329316,29327043.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2016,179151281,178984622.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2011,2234549,2234549.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2009,3469222,3469222.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2016,21766445,21766445.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2014,8855123,8855123.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2012,8875765,8875765.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2020,14409790,14409790.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2013,9415626,9393552.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2017,118697731,118504475.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2019,246983389,247000170.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2020,258844668,258590441.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Brunei,2017,2600,2600.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2012,264670996,264576339.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2012,4067668,4067668.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2020,20031609,20031609.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2019,2759841,2738828.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2008,210791703,209698020.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2008,5793141,5793141.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2012,11247013,11247013.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2005,357628,357628.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2019,187992369,187890436.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2017,5000,5000.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2012,51297348,51297348.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2019,50553,50553.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2009,96518358,96268259.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2020,188533836,188492548.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2015,160605342,159835089.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2015,1737567,1737567.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2017,212419611,184428980.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2016,125012555,123605829.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2018,12287655,12287655.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2019,22902488,22902488.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2016,84213242,84285248.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2012,10738778,10738778.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2013,301598837,301479987.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2011,281302397,279397182.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2014,317694418,317620651.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Brunei,2011,12067,12067.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2016,42739117,42726753.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2017,46077901,45958279.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Mongolia,2007,29216,29216.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2014,62896418,62839091.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2011,14202,14202.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2014,2335905,2335905.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2010,4660825,4660825.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2012,63892740,63780922.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2006,178443475,178389189.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Burma,2001,4115,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2001,9600,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2016,5750874,5740796.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2001,3014317,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2008,149102498,149069711.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2003,128482323,127826990.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2009,10620,10620.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2011,70390740,70375659.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2002,63893990,62260837.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2010,56194275,56194275.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2018,16645953,16681188.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2007,6831745,6831745.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2007,4649175,4649175.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2014,53182291,53182291.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2009,92457052,92397608.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2017,177942098,177619247.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,ASEAN - Association of Southeast Asian Nations,2006,197791937,188244491.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2005,43235408,43165865.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2016,991592,991592.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Thailand,2002,36603315,36442090.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2011,7336595,7336595.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2004,238563,238563.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Taiwan,2011,152173070,152143776.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2014,4200,4200.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2011,2913,2913.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2017,9515458,9515458.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2011,103977109,103977109.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2018,10226427,10226427.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Laos,2012,5300,5300.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2017,217290051,217164421.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2009,1942412,1942412.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2012,74862047,74862047.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Philippines,2017,1344342,1349172.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Macau,2012,14456,14456.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2020,270324819,269900186.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2011,172224947,170318399.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2013,2340,2340.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2006,5390530,5390530.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2001,5288065,,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2016,8635909,8635909.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2014,14920177,14920177.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2017,11814437,11814437.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2020,214657881,201618253.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2017,24014268,24017323.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Hong Kong,2002,4149764,4191762.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2003,4468782,4468782.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2017,11219775,11219775.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2006,245507,245507.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,"Korea, South",2015,254282588,253796013.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Singapore,2005,2444110,2444110.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2009,39046362,39015131.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Japan,2006,230148699,229046332.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Indonesia,2002,4694735,4694735.0,74,Copper,Refined/Articles
74 Copper And Articles Thereof,Asia - South,2018,112604328,112402629.0,74,Copper,Refined/Articles
